acousticness,album_id,analysis_url,artists_id,artists_name,available_markets,country,danceability,disc_number,duration_ms,energy,href,id,instrumentalness,key,liveness,loudness,lyrics,mode,name,playlist,popularity,preview_url,speechiness,tempo,time_signature,track_href,track_name_prev,track_number,uri,valence,type
0.455,5vn1YLShQCNJsu3IbHBqTk,https://api.spotify.com/v1/audio-analysis/4jitHM87wUT8kkRNgU0bVA,['2PyT97wbUZvF6clgcl91cU'],Keith Urban,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.75,1.0,195122.0,0.776,https://api.spotify.com/v1/tracks/4jitHM87wUT8kkRNgU0bVA,4jitHM87wUT8kkRNgU0bVA,0.0162,0.0,0.111,-5.264,"

Oh, I've been driving
Every road, (Aa-ooh, ooh)
And what I'm after
I still don't know (Aa-ooh, ooh)

Let's fade together
Stay for
Just a little longer
Young forever
Long as you're by my side
We'll make it out alive (Yeah, yeah)

You and me, we got tied
Might be low, but I'm high
I'm a mess, but it's fine
I'm finding my way, eh
You and me, we alright (right)
Still got love on our side (side)
We get lost but it's fine
Always another day

Come up like a sunrise
Flowers in a desolate world
Flowers in a desolate world

What more can I say
Always on the upside (Aa-ooh, ooh)
Older every day
Younger in my own damn mind (Aa-ooh, ooh)

Let's fade together
Stay for just a little longer
Young forever
Long as you're by my side (alright)
We'll make it out alive (Yeah, yeah)

You and me, we got tied
Might be low, but I'm high
I'm a mess, but it's fine
I'm finding my way, eh
You and me, we alright (right)
Still got love on our side (side)
We get lost but it's fine
Always another day

Come up like a sunrise (oh yeah, oh yeah)
Flowers in a desolate world (oh yeah, oh yeah)
Flowers in a desolate world
Always another day
Ohh-oh-oh, we come up like a sunrise
Sure cut the flowers in a desolate world
Flowers in a desolate world

Ohh-oh-oh, we come up like a sunrise
Sure cut the flowers in a desolate world
Flowers in a desolate world
",0.0,Wasted Time,country,30.0,https://p.scdn.co/mp3-preview/9c0d34b93df87b52b8c9c5713a242602eaf596af?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0416,123.017,4.0,https://api.spotify.com/v1/tracks/4jitHM87wUT8kkRNgU0bVA,track_34,1.0,spotify:track:4jitHM87wUT8kkRNgU0bVA,0.455,track
0.111,3mXZIWJYygHtn9XaZrvpbJ,https://api.spotify.com/v1/audio-analysis/4QesgDOrAoI2sfMfrYgOnZ,['2BTZIqw0ntH9MvilQ3ewNY'],Patsy Cline,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.795,1.0,136453.0,0.462,https://api.spotify.com/v1/tracks/4QesgDOrAoI2sfMfrYgOnZ,4QesgDOrAoI2sfMfrYgOnZ,3.77e-06,1.0,0.115,-9.47,"

I go out walkin’ after midnight
Out in the moonlight just like we used to do
I'm always walkin' after midnight searchin' for you
I walk for miles along the highway
Well that's just my way of sayin' I love you
I'm always walkin’ after midnight, searchin' for you

I stop and see a weepin' willow
Cryin' on his pillow, maybe he's cryin' for me
And as the sky turns gloomy
Night winds whisper to me, I'm lonesome as I can be

I go out walkin’ after midnight
Out in the starlight, just hopin' you may be
Somewhere out walkin’ after midnight, searchin' for me


I stop and see a weepin' willow
Cryin' on his pillow, maybe he's cryin' for me
And as the skies turn gloomy
Night winds whisper to me, I'm lonesome as I can be

I go out walkin’ after midnight
Out in the starlight, just hopin' you may be
Somewhere out walkin’ after midnight, searchin' for me
Searchin' for me
",1.0,Walkin' After Midnight,country,30.0,https://p.scdn.co/mp3-preview/a2642fa3cba8c7160f77a7a60580c16ebcfe4ee5?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0461,114.423,3.0,https://api.spotify.com/v1/tracks/4QesgDOrAoI2sfMfrYgOnZ,track_65,4.0,spotify:track:4QesgDOrAoI2sfMfrYgOnZ,0.918,track
0.175,2lKDDrmx5aqyBRkho5ljn5,https://api.spotify.com/v1/audio-analysis/5EYWGM3Ns3iYew8ws0FatB,['25NQNriVT2YbSW80ILRWJa'],Faith Hill,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.398,1.0,194307.0,0.804,https://api.spotify.com/v1/tracks/5EYWGM3Ns3iYew8ws0FatB,5EYWGM3Ns3iYew8ws0FatB,0.0,11.0,0.181,-5.559,"

I don't want another heartbreak
I don't need another turn to cry, no
I don't wanna learn the hard way
Baby, hello
Oh no, goodbye
But you got me like a rocket
Shooting straight across the sky

It's the way you love me
It's a feeling like this
It's centrifugal motion
It's perpetual bliss
It's that pivotal moment
It's, ah, impossible
This kiss, this kiss
Unstoppable
This kiss, this kiss

Cinderella said to Snow White
""How does love get so off course, oh
All I wanted was a white knight
With a good heart
Soft touch, fast horse
Ride me off into the sunset
Baby, I'm forever yours""

It's the way you love me
It's a feeling like this
It's centrifugal motion
It's perpetual bliss
It's that pivotal moment
It's, ah, unthinkable
This kiss, this kiss
Unsinkable
This kiss, this kiss

You can kiss me in the moonlight
On the rooftop under the sky, oh
You can kiss me with the windows open
While the rain comes pouring inside, oh
Kiss me in sweet slow motion
Let's let everything slide
You got me floating
You got me flying

It's the way you love me (The way)
It's a feeling like this
It's centrifugal motion (Ahh, ahh)
It's perpetual bliss
It's that pivotal moment
It's, ah, subliminal
This kiss, this kiss
It's criminal
This kiss, this kiss
It's the way you love me, baby (The way you love me, baby)
It's the way you love me, darling, yeah

It's the way you love me (The way)
It's a feeling like this
It's centrifugal motion (Ahh, ahh)
It's perpetual bliss
It's that pivotal moment
It's, ah, subliminal
This kiss, this kiss
It's criminal
This kiss, this kiss
It's the way you love me, baby (The way you love me, baby)
It's the way you love me darling, yeah

It's the way you love me
It's a feeling like this
It's centrifugal motion
",1.0,This Kiss,country,62.0,https://p.scdn.co/mp3-preview/a58d416f6e969830e4db865fb604450508fa62c2?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0451,186.752,4.0,https://api.spotify.com/v1/tracks/5EYWGM3Ns3iYew8ws0FatB,track_39,1.0,spotify:track:5EYWGM3Ns3iYew8ws0FatB,0.709,track
0.735,2Xdjo93noCuAF0Ev1yukt3,https://api.spotify.com/v1/audio-analysis/6o0LrwkjkSwN2LFxKknOmY,['0GGJB62JqywhEnwBPGwOGb'],Faith Hill,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.662,1.0,292138.0,0.478,https://api.spotify.com/v1/tracks/6o0LrwkjkSwN2LFxKknOmY,6o0LrwkjkSwN2LFxKknOmY,1.12e-05,9.0,0.074,-8.822,"

Mama's getting nervous
'Cause I haven't been to church here in a while
Honestly, I get it, probably feel the same if it was my child
I don't know if it's me or them
But, God, I can't breathe, this stress will kill me
Wish I'd never witnessed the corruption on the inside
Wish I'd never witnessed the corruption on the inside

I don't wanna be jaded
But I'm baring wounds from the church of celebrity
(Jaded, jaded, jaded, jaded, jaded)
I don't wanna be jaded
But I think I'm lost and not who I'm meant to be
(Jaded, jaded, jaded, jaded, jaded)

Another story broke about abuse and, God, I'm feeling crushed
Decades later, pastors richer, famous wallow, women hushed
I don't know if it's me or them
But, God, I can't breathe, this stress will kill me
I know I love justice but remember you're the only judge

I don't wanna be jaded
But I'm baring wounds from the church of celebrity
(Jaded, jaded, jaded, jaded, jaded)
I don't wanna be jaded
But I think I'm lost and not who I'm meant to be
(Jaded, jaded, jaded, jaded, jaded)

Pain and grief are honest friends we need but don't want
I wish nothing bothered me and I could move on
What if we're lost?
Why is it my business if our system's held up by our silent victims?
",1.0,Breathe,country,34.0,https://p.scdn.co/mp3-preview/6a47978eb41d845571236a8e54f0228c57b73d6c?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0308,129.957,4.0,https://api.spotify.com/v1/tracks/6o0LrwkjkSwN2LFxKknOmY,track_30,1.0,spotify:track:6o0LrwkjkSwN2LFxKknOmY,0.191,track
0.194,2xG5VLMFnDKhjJhsiJDcGm,https://api.spotify.com/v1/audio-analysis/0LTSNmOLBt25GMjHlxp9OR,['6kACVPfCOnqzgfEF5ryl0x'],Johnny Cash,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.689,1.0,155640.0,0.527,https://api.spotify.com/v1/tracks/0LTSNmOLBt25GMjHlxp9OR,0LTSNmOLBt25GMjHlxp9OR,0.0784,5.0,0.278,-9.934,"

I hear the train a comin', it's rolling 'round the bend
And I ain't seen the sunshine since I don't know when
I'm stuck in Folsom prison, and time keeps draggin' on
But that train keeps a rollin' on down to San Antone

When I was just a baby my mama told me, ""Son
Always be a good boy, don't ever play with guns""
But I shot a man in Reno just to watch him die
When I hear that whistle blowing, I hang my head and cry

I bet there's rich folks eating in a fancy dining car
They're probably drinkin' coffee and smoking big cigars
Well I know I had it coming, I know I can't be free
But those people keep a-movin'
And that's what tortures me

Well if they freed me from this prison
If that railroad train was mine
I bet I'd move it on a little farther down the line
Far from Folsom prison, that's where I want to stay
And I'd let that lonesome whistle blow my blues away
",1.0,Folsom Prison Blues,country,56.0,https://p.scdn.co/mp3-preview/4abcbf13d95eabf61a0d3ab165a302a76d639fcd?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0314,110.519,4.0,https://api.spotify.com/v1/tracks/0LTSNmOLBt25GMjHlxp9OR,track_3,3.0,spotify:track:0LTSNmOLBt25GMjHlxp9OR,0.777,track
0.003,1dnqU0I31Tip9zSUskuSxr,https://api.spotify.com/v1/audio-analysis/6mt2vWVQ487J19ccwTuP6S,['2gyv1akuIB9fQvXoGSPaJr'],Patsy Cline,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.739,1.0,175987.0,0.836,https://api.spotify.com/v1/tracks/6mt2vWVQ487J19ccwTuP6S,6mt2vWVQ487J19ccwTuP6S,0.122,1.0,0.212,-3.702,"

Purse first, purse first
Walk in to the room purse first
Purse first, purse first
Walk in to the room purse first

It is a known fact that woman do carry an evening bag at dinnertime
You see the Real Housewives of Atlanta?
You see the Real Housewives of Potomac?
You even see it on Little Women LA!
I don't know why you all gagging..

Purse first, purse first
Walk in to the room purse first
Purse first, purse first
Walk in to the room purse first, ow
Purse first, purse first
Listen to the first verse of purse first
Purse first, purse first
Purse fir-fir-fir, purse first

Bitch pay too much, don't look like me
My purse was buy one, get one free
Is that a Vera Wang gown, girl I'll take your hand-me-down
Fendi, Prada, no it's not a Micheal Kors as nice as yours
You broke the bank, but I turn the ball
Now, who's the fiercest of them all

Kack, kack, kack boom
Kack boom, you walk into the room
Kack-a-da, kack-a-da, kack-a-da, kack
Pick it back up, then you fall on your back
Kack to the kack, kack, kack, kack boom
Sha-ka-kack kack kack kack, sha-wow
Boom, sha-cack, make sure you don't stop
Bring it back up and then death drop

Purse first, purse first
Walk in to the room purse first
Purse first, purse first
Walk in to the room purse first, ow
Purse first, purse first
Second verse, it's only gonna get worse
Purse first, purse first
Purse to the Purse, purse first

Wal-Mart, Conway(?), Rainbow, Ross
Maxxinista, feeling boss
Girl, you think this Louboutin?
Nah, I got this on Groupon
With curtains, paper, and a wish
I made this clutch, and turned it, bitch!
$3000, now you're in debt?
You got a Givenchy with a K-Mart dress?

Kack, kack, kack boom
Kack boom, you walk into the room
Kack-a-da, kack-a-da, kack-a-da, kack
Pick it back up, then you fall on your back
Kack to the kack, kack, kack, kack boom
Sha-ka-kack kack kack kack, sha-wow
Boom, sha-cack, make sure you don't stop
Bring it back up and then death drop

Purse first, purse first
Walk in to the room purse first
Purse first, purse first
Walk in to the room purse first, ow
Purse first, purse first
Walk in to the room purse first
Purse first, purse first
Walk in to the room purse first

Before you come for me, you better sharpen your claws
Tell me, is you mad OR NAH?
Your Jimmy Choos are killing you
Size 15 foot with a size 10 shoe
Girl, I'm way too blessed to be stressed
Why pay more when you can pay less?
I spill truth tea, and now you're mad
I duck walk on your Birkin bag

Duck duck, ooh, quack
I'm feeling quack
Quack, quack
Get back, a bitch is feeling quack
Oh, oh, get back, a bitch is feeling quack

Purse first, purse first
Walk in to the room purse first
Purse first, purse first
Walk in to the room purse first, ow
Purse first, purse first
Walk in to the room purse first
Purse first, purse first
Walk in to the room purse first

Kack, kack, kack boom
Kack boom, you walk into the room
Kack-a-da, kack-a-da, kack-a-da, kack
Pick it back up, then you fall on your back
Kack to the kack, kack, kack, kack boom
Sha-ka-kack kack kack kack, sha-wow
Boom, sha-cack, make sure you don't stop
Bring it back up and then death drop

Purse first, purse first
Walk in to the room purse first
Purse first, purse first
Walk in to the room purse first, ow
Purse first, purse first
Walk in to the room purse first
Purse first, purse first
Walk in to the room purse first, ow

Purse first, purse first
Walk in to the room purse first
",1.0,Crazy,country,28.0,https://p.scdn.co/mp3-preview/c6c18b9277f9264cbe278b3404a3fc1501dce32f?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.061,100.492,4.0,https://api.spotify.com/v1/tracks/6mt2vWVQ487J19ccwTuP6S,track_7,1.0,spotify:track:6mt2vWVQ487J19ccwTuP6S,0.303,track
0.559,5IeDdczhkSnEMawt6Nu9E9,https://api.spotify.com/v1/audio-analysis/6iiDD7pDnTWu4G58VaUvYQ,['5JYReWgOGu4JKm5pqmACqG'],Johnny Cash,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.351,1.0,169671.0,0.448,https://api.spotify.com/v1/tracks/6iiDD7pDnTWu4G58VaUvYQ,6iiDD7pDnTWu4G58VaUvYQ,0.00159,4.0,0.101,-11.108,"

Love is a burning thing
And it makes a fiery ring
Bound by a love's desire
I fell into a ring of fire

I fell into a burning ring of fire
I went down, down, down
And the flames went higher
And it burns, burns, burns
The ring of fire
The ring of fire

The taste of love is sweet
When hearts like our's meet
I fell for you like a child
Oh, but the fire went wild

I fell into a burning ring of fire
I went down, down, down
And the flames went higher
And it burns, burns, burns
The ring of fire


I fell into a burning ring of fire
I went down, down, down
And the flames went higher
And it burns, burns, burns
The ring of fire
",0.0,Ring of Fire,country,35.0,https://p.scdn.co/mp3-preview/940189518c3071bd43fe47610a08c020b264f8e8?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0464,108.703,4.0,https://api.spotify.com/v1/tracks/6iiDD7pDnTWu4G58VaUvYQ,track_34,1.0,spotify:track:6iiDD7pDnTWu4G58VaUvYQ,0.205,track
0.93,17CT6ru3CyDXAi6xVaSUzg,https://api.spotify.com/v1/audio-analysis/1l2Xmg54EUr3TDzNIaCr1z,['32vWCbZh0xZ4o9gkz4PsEU'],Dolly Parton,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",FI,0.624,1.0,183667.0,0.257,https://api.spotify.com/v1/tracks/1l2Xmg54EUr3TDzNIaCr1z,1l2Xmg54EUr3TDzNIaCr1z,7.56e-05,5.0,0.138,-13.341,"

Back through the years
I go wondering once again
Back to the seasons of my youth
I recall a box of rags that someone gave us
And how my mama put the rags to use
There were rags of many colors
Every piece was small
And I didn't have a coat
And it was way down in the fall
Mama sewed the rags together
Sewing every piece with love
She made my coat of many colors
That I was so proud of
As she sewed, she told a story
From the bible, she had read
About a coat of many colors
Joseph wore and then she said
Perhaps this coat will bring you
Good luck and happiness
And I just couldn't wait to wear it
And momma blessed it with a kiss

My coat of many colors
That my mama made for me
Made only from rags
But I wore it so proudly
Although we had no money
I was rich as I could be
In my coat of many colors
My mama made for me

So with patches on my britches
Holes in both my shoes
In my coat of many colors
I hurried off to school
Just to find the others laughing
And making fun of me
In my coat of many colors
My mama made for me

And oh I couldn't understand it
For I felt I was rich
And I told them of the love
My mama sewed in every stitch
And I told them all the story
Mama told me while she sewed
And how my coat of many colors
Was worth more than all their clothes

But they didn't understand it
And I tried to make them see
That one is only poor
Only if they choose to be
Now I know we had no money
But I was rich as I could be
In my coat of many colors
My mama made for me
Made just for me
",1.0,Coat of Many Colors,country,56.0,https://p.scdn.co/mp3-preview/051d54564b2dc343ee4688fe3e09591e1f0a441f?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0444,85.617,4.0,https://api.spotify.com/v1/tracks/1l2Xmg54EUr3TDzNIaCr1z,track_8,1.0,spotify:track:1l2Xmg54EUr3TDzNIaCr1z,0.681,track
0.578,76v3XMhmRuxlakE6e3lKox,https://api.spotify.com/v1/audio-analysis/5xZYQAl2oktfGQ20rLOJt6,"['7wCjDgV6nqBsHguQXPAaIM', '5W5bDNCqJ1jbCgTxDD0Cb3']",Waylon Jennings,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",FI,0.373,2.0,152533.0,0.423,https://api.spotify.com/v1/tracks/5xZYQAl2oktfGQ20rLOJt6,5xZYQAl2oktfGQ20rLOJt6,0.00115,9.0,0.16,-11.642,"

Cowboys ain't easy to love and they're harder to hold
They'd rather give you a song than diamonds or gold

Lonestar belt buckles and old faded Levis
And each night begins a new day
And if you don't understand him, and he don't die young
He'll probably just ride away

Mammas, don't let your babies grow up to be cowboys
Don't let 'em pick guitars and drive them old trucks
Let 'em be doctors and lawyers and such
Mama, don't let your babies grow up to be cowboys
They'll never stay home and they're always alone
Even with someone they love

Cowboys like smoky old pool rooms and clear mountain mornings

Little warm puppies and children and girls of the night
Them that don't know him won't like him and them that do
Sometimes won't know how to take him

He ain't wrong, he's just different, but his pride won't let him
Do things to make you think he's right

Mammas, don't let your babies grow up to be cowboys
Don't let 'em pick guitars and drive them old trucks
Let 'em be doctors and lawyers and such
Mama, don't let your babies grow up to be cowboys
'Cause they'll never stay home and they're always alone
Even with someone they love

Mammas, don't let your babies grow up to be cowboys
Don't let 'em pick guitars and drive them old trucks
Let 'em be doctors and lawyers and such
",1.0,"Mammas, Don't Let Your Babies Grow Up to Be Cowboys",country,57.0,https://p.scdn.co/mp3-preview/4d344848ecc1fa5cbb419eeb3c87d9dbc842014f?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0618,187.477,3.0,https://api.spotify.com/v1/tracks/5xZYQAl2oktfGQ20rLOJt6,track_3,14.0,spotify:track:5xZYQAl2oktfGQ20rLOJt6,0.527,track
0.00682,71fTLpWajq5eWQeEIEMc51,https://api.spotify.com/v1/audio-analysis/3f5oUjI9jrHTxPKbHo6y99,['0exhrQcReCdr11oPbOh22M'],Florida Georgia Line,"['BR', 'CA', 'MX', 'US']",BE,0.538,1.0,218314.0,0.82,https://api.spotify.com/v1/tracks/3f5oUjI9jrHTxPKbHo6y99,3f5oUjI9jrHTxPKbHo6y99,0.0,11.0,0.341,-5.148,"

I was a liar
I'll never be holy in your eyes
But you'll never be either
'Cause I know that underneath your smile
Hides the nights that you regret and the days you can't forget
'Cause you know me
And we'll never be holy

I've been keeping to myself
And looking back over my shoulder
Trying to live my life just like somebody else
And forget all the empty words I told ya

I'm a mess, these demons follow me home
It's easy to bury the guilt on my own
Now my fears will finally swallow me whole
'Cause I wasn't honest
And I never wanted to admit that

I was a liar
I'll never be holy in your eyes
But you'll never be either
'Cause I know that underneath your smile
Hides the nights that you regret and the days you can't forget
'Cause you know me
And we'll never be holy

It's a sickness I can't seem to shake
'Til I wake up alone and ashamed
Or a tie that I'm too scared to break
In case I'm drunk and I need you again
I was never the one
I was always just easy
You would lend me enough to follow through
Maybe when you're alone
And you look in the mirror
Well, you can feel as low as I do

Just a mess, these demons follow you home
It's easy to bury the guilt on your own
Now your fears will finally swallow you whole
But I wasn't honest
And you never wanted to admit that

I was a liar
I'll never be holy in your eyes
But you'll never be either
'Cause I know that underneath your smile
Hides the nights that you regret and the days you can't forget
'Cause you know me
And we'll never be holy
And we'll never be holy (holy in your eyes)
No, we'll never be holy (holy in your eyes)
'Cause the nights that you regret and the days you can't forget
Leave you lonely
And we'll never be holy

I'll always be a mess if I keep living this way
Despite all my flaws, I still hope you're okay
I don't know if I can honestly say
That it's getting better
But at least together
We were holy
",1.0,Holy,country,30.0,https://p.scdn.co/mp3-preview/c02c4cfdd8dc76ed14f7038b5d537cc16fb4122c?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0482,106.114,4.0,https://api.spotify.com/v1/tracks/3f5oUjI9jrHTxPKbHo6y99,track_17,1.0,spotify:track:3f5oUjI9jrHTxPKbHo6y99,0.581,track
