acousticness,album_id,analysis_url,artists_id,artists_name,available_markets,country,danceability,disc_number,duration_ms,energy,href,id,instrumentalness,key,liveness,loudness,lyrics,mode,name,playlist,popularity,preview_url,speechiness,tempo,time_signature,track_href,track_name_prev,track_number,uri,valence,type
0.0946,7aAckmXx2tIaR6qB1F7cKs,https://api.spotify.com/v1/audio-analysis/4pUOZFi8YiNmWZEsWR6DaR,['6baWjwY7WiVPCZcW7pqqhz'],Dashboard Confessional,['SE'],BE,0.742,1.0,215773.0,0.496,https://api.spotify.com/v1/tracks/4pUOZFi8YiNmWZEsWR6DaR,4pUOZFi8YiNmWZEsWR6DaR,1.51e-06,7.0,0.189,-6.135,"

A friend indeed, come build me up
Come shed your light, it makes me shine
You get the message, don't you ever forget it
Let's laugh and cry, until we die

If it wasn't for you, I'd be alone
If it wasn't for you, I'd be on my own
Don't wait 'til I do wrong
Don't wait 'til I put up a fight
You won my heart, without a question
Don't wait for life

I care for you, I talk to you
In my deepest dreams, I'm fortunate
We got a friendship, no one can contest it
And not to mention, I respect you with my all

If it wasn't for you, I'd be alone
If it wasn't for you, I'd have to hold my own
Don't wait 'til I do wrong
Don't wait 'til I put up a fight
You won my heart, without a question
Don't wait for life

Not a thing in the world could get between what we share
No matter where you at, no worry I'll be there
No one's got your back like I do
Even when the business ain't going well, we still cool
When I shine, you shine, always on your side
All my life you'll have what's mine
Mark my word, we gon' be alright
My brother, my sister we gon' be just fine

If it wasn't for you, I'd be alone
If it wasn't for you, I'd be on my own
Don't wait 'til I do wrong
Don't wait 'til I put up a fight
You won my heart, without a question
Don't wait for life

Don't wait 'til I... (do wrong)
Don't wait 'til I... (put up a fight)
You won my heart
Without a question
Don't wait for life
",1.0,Don't Wait,emo,39.0,https://p.scdn.co/mp3-preview/b19507c158d9f67d7b00d9ccc2141f3e03c7bff1?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0657,98.998,4.0,https://api.spotify.com/v1/tracks/4pUOZFi8YiNmWZEsWR6DaR,track_5,1.0,spotify:track:4pUOZFi8YiNmWZEsWR6DaR,0.35,track
0.211,1F5OliwEcMBSGNsXxRC8p4,https://api.spotify.com/v1/audio-analysis/2xEUE2mCaghHy4uYJmITaI,['4Ly0KABsxlx4fNj63zJTrF'],All Time Low,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.625,1.0,212973.0,0.76,https://api.spotify.com/v1/tracks/2xEUE2mCaghHy4uYJmITaI,2xEUE2mCaghHy4uYJmITaI,3.9e-05,4.0,0.187,-3.688,"

Caught in the dark with a sound in my heart
Hiding alone down on the floor
Out of my depth and I'm holding my breath
Don't wanna go outside the door

Paralyzed by my own emotion
Out of my mind, looking for a way out of here, out of here
Terrified and my feet are frozen
Something inside got me wondering is this real?
Is this real?

I'm hearing voices in my head
I don't wanna hear, I don't wanna fear
Say you ain't afraid of nothing
Everybody is scared of something, woo-hoo

Smoke in my chest from my last cigarette
And the dog start to howl at the moon
Black silhouettes gonna haunt me again
Creeping out from the shadows of the room

Paralyzed by my own emotions
Something inside got me wondering is this real?
Is this real?

I'm hearing voices in my head
I don't wanna hear, I don't wanna fear
I'm seeing monsters in my bed
I don't wanna see, I don't wanna fear
Say you ain't afraid of nothing
Everybody is scared of something, woo-hoo

I wanna let you know
I ain't afraid no more
I wanna let you know

I'm hearing voices in my head
I don't wanna hear, I don't wanna fear
I'm seeing monsters in my bed
I don't wanna see, I don't wanna fear, wooh-wooh
I wanna let you know
I wanna let you know
I wanna let you know
Saying you ain't afraid of nothing
Everybody is scared of something, woo-hoo
",0.0,Monsters,emo,52.0,https://p.scdn.co/mp3-preview/ce11a70ff005c2fdcbc0f5ffaaaec15607697279?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0469,89.97,4.0,https://api.spotify.com/v1/tracks/2xEUE2mCaghHy4uYJmITaI,track_38,1.0,spotify:track:2xEUE2mCaghHy4uYJmITaI,0.352,track
0.124,4guW5WPxFzHrXg04FPC9v9,https://api.spotify.com/v1/audio-analysis/6Wuv7MrhesuDsuGv8vcrOd,['0YrtvWJMgSdVrk3SfNjTbx'],Death Cab for Cutie,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UY', 'VN', 'ZA']",FI,0.63,1.0,230907.0,0.772,https://api.spotify.com/v1/tracks/6Wuv7MrhesuDsuGv8vcrOd,6Wuv7MrhesuDsuGv8vcrOd,0.000432,2.0,0.116,-8.366,"

I want to live where soul meets body
And let the sun wrap its arms around me
And bathe my skin in water, cool and cleansing and feel
Feel what it's like to be new
'Cause in my head there's a Greyhound station
Where I send my thoughts to far off destinations
So they may have a chance of finding a place
Where they're far more suited than here

Well, I cannot guess what we'll discover
When we turn the dirt with our palms cupped like shovels
But I know our filthy hands can wash one another's
And not one speck will remain

I do believe it's true
That there are roads left in both of our shoes
But if the silence takes you, then I hope it takes me too
So, brown eyes, I'll hold you near
'Cause you're the only song I want to hear
A melody softly soaring through my atmosphere

Where soul meets body
Where soul meets body
Where soul meets body

And I do believe it's true
That there are roads left in both of our shoes
But if the silence takes you, then I hope it takes me too
So, brown eyes, I'll hold you near
'Cause you're the only song I want to hear
A melody softly soaring through my atmosphere

A melody softly soaring through my atmosphere
A melody softly soaring through my atmosphere
A melody softly soaring through my atmosphere
",0.0,Soul Meets Body,emo,58.0,https://p.scdn.co/mp3-preview/b8363b1fbc4827b98129a2bea5bf8e7a6017688c?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0251,128.133,4.0,https://api.spotify.com/v1/tracks/6Wuv7MrhesuDsuGv8vcrOd,track_62,2.0,spotify:track:6Wuv7MrhesuDsuGv8vcrOd,0.717,track
0.0149,23OIssiWfFrUOhNvXaqa3R,https://api.spotify.com/v1/audio-analysis/3Obxz980GJnoElXiPPL5Aq,['66mvkoeTssT7z9uSV0OEy7'],All Time Low,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.554,1.0,134304.0,0.908,https://api.spotify.com/v1/tracks/3Obxz980GJnoElXiPPL5Aq,3Obxz980GJnoElXiPPL5Aq,0.0,9.0,0.262,-3.572,"
When I am 29
When I am 29 I'll start going to therapy
When I am 29
When I am 29 I’ll start going to therapy
I'll make time then
No more excuses
I'll start going to therapy
When I was 24
When I was 24 I was fucking up everything
When I was 24
When I was 24 I was fucking up everything
I had three jobs
And a broken heart
I was fucking up everything
When I was three years old
Don’t remember what I was told
I found empty vodka bottles in your briefcase
When I wasn't even born
Did I deserve the scorn
That I'd get with every year but never ask for
When I am 29
When I am 29 I'll start going to therapy
When I am 29
When I am 29 I'll start going to therapy
I'll make time then
No more excuses
I'll start going to therapy
",1.0,Therapy,emo,39.0,https://p.scdn.co/mp3-preview/1999910abebf034e014ac1e10174b07d03e06551?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0436,105.862,4.0,https://api.spotify.com/v1/tracks/3Obxz980GJnoElXiPPL5Aq,track_30,1.0,spotify:track:3Obxz980GJnoElXiPPL5Aq,0.597,track
0.365,4t6hjfoEcGaOXLWMha4H0N,https://api.spotify.com/v1/audio-analysis/3rdhZX8fOu65q97OejFQ1U,['1Z1d9w6X8vxMyZvM19a7vy'],Blink-182,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",FI,0.774,1.0,209481.0,0.575,https://api.spotify.com/v1/tracks/3rdhZX8fOu65q97OejFQ1U,3rdhZX8fOu65q97OejFQ1U,0.0,5.0,0.12,-4.588,"
I miss you
I really fucking miss you, I miss holding you
I miss everything I'm used to
But fuck you
I get it, I’m too negative, I get it, I'm a sedative
I get it I'm a medicine to people like you
I miss you
I really fucking miss you
I can’t stand all of these people tryna ask me what's the issue
But fuck you
I get it, I'm too good for you, I get it,  I'm just loving you
I get it I'm the only one for people like you
I feel it in my stomach, I feel it in my head
I really fucking love you and I wish that I was dead
I feel it in my stomach, I feel it in my head
I really fucking hate you and I wish that I was dead. (2x)
I miss you
I really fucking miss you, I miss kissing you
I miss everything I'm used to
But fuck you
I get it, I'm too sensitive, I get it, I'm too genuine
I get it I’m too venomous to people like you
I miss you
I really fucking miss you
I can’t hold on to myself and just ignore all of my issues
But fuck you
I get it, I'm too personal, I get it, I’m too burnable
I get it I'm too permanent for people to like you
I feel it in my stomach, I feel it in my head
I really fucking love you and I wish that I was dead
I feel it in my stomach, I feel it in my head
I really fucking hate you and I wish that I was dead. (4x)
I miss you
I really fucking miss you (4x)
I feel it in my stomach, I feel it in my head
I really fucking love you and I wish that I was dead. (2x)
I really fucking miss you
I miss you
But fuck you, yeah
",0.0,I Miss You,emo,44.0,https://p.scdn.co/mp3-preview/d71a849f55c1cc111f66c4d3bdec8e7e485d0be1?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.071,110.01,4.0,https://api.spotify.com/v1/tracks/3rdhZX8fOu65q97OejFQ1U,track_13,1.0,spotify:track:3rdhZX8fOu65q97OejFQ1U,0.155,track
0.0104,1cRVHT6fWzQdEUSjlQkmma,https://api.spotify.com/v1/audio-analysis/6TBDSrE9o2QzcBXUswrDm6,['2cXyPSMdJcGw3t9yNhwTN2'],All Time Low,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.481,1.0,211575.0,0.577,https://api.spotify.com/v1/tracks/6TBDSrE9o2QzcBXUswrDm6,6TBDSrE9o2QzcBXUswrDm6,1.96e-06,9.0,0.127,-7.175,"

My faith is the door to Your world
Your way is the way to freedom
Opposite to what I see
Opposite to what I see

I find you in my wildest dreams
Like a new reality
You are my gravity
You are my gravity

Weightless above the clouds
Love is the sound
I’m falling, I’m falling for You
I’m falling, I’m falling for You
Caught up in Heaven now
Weightless and bound
I’m falling, I’m falling for You
I’m falling, I’m falling for You

Building my life in Your name
Stealing my heart with Your race
I can feel You here with me
I can feel You here with me

I find you in my wildest dreams
Like a new reality
You are my gravity
You are my gravity

Weightless above the clouds
Love is the sound
I’m falling, I’m falling for You
I’m falling, I’m falling for You
Caught up in Heaven now
Weightless and bound
I’m falling, I’m falling for You
I’m falling, I’m falling for You

Sometimes it feels too good to be real
Your love reversed my failure
Now I let go, trust You and know
You hold, You hold my future
Sometimes it feels too good to be real
Your love reversed my failure
Now I let go, trust You and know
You hold, You hold my future

Weightless above the clouds
Love is the sound
I’m falling, I’m falling for You
I’m falling, I’m falling for You
Weightless above the clouds
Love is the sound
I’m falling, I’m falling for You
I’m falling, I’m falling for You
Caught up in Heaven now
Weightless and bound
I’m falling, I’m falling for You
I’m falling, I’m falling for You
",1.0,Weightless,emo,28.0,https://p.scdn.co/mp3-preview/0c5f7a0243d4b49634c97412b29d6cc2ece794dc?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0363,138.166,4.0,https://api.spotify.com/v1/tracks/6TBDSrE9o2QzcBXUswrDm6,track_34,5.0,spotify:track:6TBDSrE9o2QzcBXUswrDm6,0.238,track
0.515,0z8izbo6B9JEQxqGrlexWA,https://api.spotify.com/v1/audio-analysis/1ksSib2GsrP1wqkpOPdHnY,['14mErTJ0ubFVjx2zBAwjkE'],Blink-182,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",FI,0.632,1.0,172852.0,0.494,https://api.spotify.com/v1/tracks/1ksSib2GsrP1wqkpOPdHnY,1ksSib2GsrP1wqkpOPdHnY,0.0,7.0,0.12,-7.283,"

She got those lips like Aphrodite
And she's not easily excited
She like to talk during a movie
She like wasabi on her sushi

So specific, she likes the strangest things
My intuition, tells me to let her keep
Making decisions, she does it naturally
So I will follow, follow, follow your lead

Hands down
My mind's made up you're the best I ever had
Hands down
It feels so good when opposites attract
Hands down
I'm not one for getting too attached
Hands down
But my mind's made up you're the best I ever had

We don't have too much in common
Except we puff that marijuana
You got my head spinnin' like tie dye
I'm spaced out like it's Sci-Fi
That good connection like Wi-Fi
Let me get to know ya

So specific, she likes the strangest things
My intuition, tells me to let her keep
Making decisions, she does it naturally
So I will follow, follow, follow your lead

Hands down
My mind's made up you're the best I ever had
Hands down
It feels so good when opposites attract
Hands down
I'm not one for getting too attached
Hands down
But my mind's made up you're the best I ever had

(brr)
I don't slow down
I'm too wavy
But I don't know how
We both ended up tangled in this place
But I'm here to stay
I can't fake the wave
I guess it's safe to say that I got you
And you got some new lingerie
Well that's thoughtful
I create a new Halloween for that costume
Loving how it pans out
I got a pair of cuffs, put your hands down
But usually I'm solo, dolo
Act a fool
I don't know so and so
I'm home alone
With thoughts
I'm known to not go out
I'm not about to ask you out
That's not my route
'Cause it hurts to see rings
On really bad teams
And love is just pain
I'm slave to these things
Through all that
I will follow, follow, follow your lead

Hands down
My mind's made up you're the best I ever had
Hands down
It feels so good when opposites attract
Hands down
I'm not one for getting too attached
Hands down
But my mind's made up you're the best I ever had

(Hands down)
(My mind's made up you're the best I ever had)
(Hands down)
(It feels so good when opposites attract)
(Hands down)
(I'm not one for getting too attached)
(Hands down)
Ooh yeah, yeah, yeah
",0.0,Down,emo,43.0,https://p.scdn.co/mp3-preview/251256aab64ca559b73a870e8d4449abbd1dbd99?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.207,75.216,4.0,https://api.spotify.com/v1/tracks/1ksSib2GsrP1wqkpOPdHnY,track_49,1.0,spotify:track:1ksSib2GsrP1wqkpOPdHnY,0.359,track
0.344,3ntOXFMHUPIedU3l2QNE0n,https://api.spotify.com/v1/audio-analysis/7C0yPWHEwTPQ4xqOz96Aro,['01crEa9G3pNpXZ5m7wuHOk'],Sum 41,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",FI,0.283,1.0,358373.0,0.354,https://api.spotify.com/v1/tracks/7C0yPWHEwTPQ4xqOz96Aro,7C0yPWHEwTPQ4xqOz96Aro,0.000245,8.0,0.0758,-11.552,"
I'm here again
A thousand miles away from you
A broken mess
Just scattered pieces of who I am
I tried so hard
Thought I could do this on my own
I've lost so much along the way
Then I see your face
I know I'm finally yours
I find everything
I thought I lost before
You call my name
I come to you in pieces
So you can make
Me whole
I've come undone
But you make sense of who I am
Like puzzle pieces in your eyes
Then I see your face
I know I'm finally yours
I find everything
I thought I lost before
You call my name
I come to you in pieces
So you can make
Me whole
I tried so hard
So hard
I tried so hard
Then I see your face
I know I'm finally yours
I find everything
I thought I lost before
You call my name
I come to you in pieces
So you can make
Me Whole
So you can make
Me whole
",0.0,Pieces,emo,52.0,https://p.scdn.co/mp3-preview/b4f52c11ac2e39f492f7e2729e22c9038bd7558f?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0288,93.02,4.0,https://api.spotify.com/v1/tracks/7C0yPWHEwTPQ4xqOz96Aro,track_29,6.0,spotify:track:7C0yPWHEwTPQ4xqOz96Aro,0.0644,track
0.000185,20ZLZhtmAf75W9FpG6o7N9,https://api.spotify.com/v1/audio-analysis/0B3pmm6gmlkYgbJ7HRFBGt,['2iT2Fmot4VzWgdOTgp3j9M'],The Red Jumpsuit Apparatus,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.51,1.0,156787.0,0.996,https://api.spotify.com/v1/tracks/0B3pmm6gmlkYgbJ7HRFBGt,0B3pmm6gmlkYgbJ7HRFBGt,0.211,9.0,0.0321,-2.636,"

Shut my mouth real tight
There's no proof to find on the earth
And the herd squirms
All the worlds pretend
The dim will defend
And I'll sink to the belly
Of the weak again

Drug the living crowd
When you are dead
Throw my name around

The dumb won't make a sound
When you are dead
Ugly dies face down

Don't make a sound
You don't make a sound
Don't make a sound

They will crawl behind
Your little waist and you spin despite
I lose my mind
All the worlds pretend
One dime to go and
I sink to the belly of the weak again



Don't make a sound
You don't make a sound
And die face down
You say it's vile (x3)
And you're right
",1.0,Face Down,emo,23.0,https://p.scdn.co/mp3-preview/b667a3ef18828ea13b3e59f94e8c1bd0f9b7d3bb?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.167,119.08,4.0,https://api.spotify.com/v1/tracks/0B3pmm6gmlkYgbJ7HRFBGt,track_16,4.0,spotify:track:0B3pmm6gmlkYgbJ7HRFBGt,0.163,track
0.561,4K1SL6j7HUpio0iK3zcuwd,https://api.spotify.com/v1/audio-analysis/2uFxEoD19haHsZvgTLVtBS,['6W2lyFO79SNpk3ZpF0A2s9'],Yellowcard,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.606,1.0,166441.0,0.367,https://api.spotify.com/v1/tracks/2uFxEoD19haHsZvgTLVtBS,2uFxEoD19haHsZvgTLVtBS,0.0,5.0,0.0658,-7.01,"

Soft and smooth with honest love
I could never do enough
To tell you what you mean to me right now
And every time you call me down
And bring me back to solid ground
You're the only one I need around

And you, you're the only one that holds me together
And you, you're my queen, I'll always be your shelter
If that ain't love, I don't know what is
If that ain't love, I don't know what is
If that ain't love, I don't know what is
If that ain't love, I don't know what is
And you, you're the only one that holds me together

I tell it how it is, I don't jump over no obstacles
I've been out in Southern California working on the low
She was there with me while driving down the backroads
Saying that she love me, usually it's a way that I don't know
I was feeling different, ooh boy, I think I'm sold
See I met a girl, out in Orange County
Southern girl that went west a couple years ago
Took her home, to the South with me
She played my song the whole drive to the radio

If that ain't love, I don't know what is
If that ain't love, I don't know what is
If that ain't love, I don't know what is
If that ain't love, I don't know what is
You, you're the only one that holds me together
You, you, you, you, you, you're my queen I'll be your shelter

If that ain't love, I don't know what is
If that ain't love, I don't know what is
If that ain't love, I don't know what is
If that ain't love, I don't know what is
If that ain't love, I don't know what is
If that ain't love, I don't know what is
If that ain't love, I don't know what is
If that ain't love, I don't know what is
",1.0,Only One,emo,20.0,https://p.scdn.co/mp3-preview/c7fc94910bc372b2aeb872bfc91dd1aeecb7fb94?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.355,84.991,4.0,https://api.spotify.com/v1/tracks/2uFxEoD19haHsZvgTLVtBS,track_29,1.0,spotify:track:2uFxEoD19haHsZvgTLVtBS,0.56,track
