acousticness,album_id,analysis_url,artists_id,artists_name,available_markets,country,danceability,disc_number,duration_ms,energy,href,id,instrumentalness,key,liveness,loudness,lyrics,mode,name,playlist,popularity,preview_url,speechiness,tempo,time_signature,track_href,track_name_prev,track_number,uri,valence,type
0.216,3kEtdS2pH6hKcMU9Wioob1,https://api.spotify.com/v1/audio-analysis/27u3Rh4IWYPdwVST20ALrt,"['20qISvAhX20dpIbOOzGK3q', '3ZotbHeyVQKxQCPDJuQ4SU']",Bob Marley,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.765,1.0,325653.0,0.687,https://api.spotify.com/v1/tracks/27u3Rh4IWYPdwVST20ALrt,27u3Rh4IWYPdwVST20ALrt,0.0,0.0,0.104,-6.664,"


What up, kid? I know shit is rough doin' your bid
When the cops came you shoulda slid to my crib
Fuck it, black, no time for lookin' back, it's done
Plus, congratulations, you know you got a son
I heard he looks like ya, why don't your lady write ya?
Told her she should visit, that's when she got hyper
Flippin', talkin' about he acts too rough
He didn't listen, he be riffin' while I'm tellin' him stuff
I was like, ""Yeah,"" shorty don't care, she a snake too
Fuckin' with them niggas from that fake crew that hate you
But yo, guess who got shot in the dome-piece?
Jerome's niece, on her way home from Jones Beach
It's bugged, plus little Rob is sellin' drugs on the dime
Hangin' out with young thugs that all carry 9's
And night time is more trife than ever
What up with Cormega? Did you see him? Are y'all together?
If so, then hold the fort down, represent to the fullest
Say what's up to Herb, Ice and Bullet
I left a half a hundred in your commissary
You was my nigga when push came to shove
(One what?) One love!

One love, one love, one love, one love
One love, one love, one love, one love
One love, one love, one love, one love
One love, one love, one love, one love

Dear Born, you'll be out soon, stay strong
Out in New York the same shit is goin' on
The crackheads stalkin', loudmouths is talkin'
Hold, check out the story yesterday when I was walkin'
That nigga you shot last year tried to appear
Like he hurtin' somethin'
Word to mother, I heard him frontin'
And he be pumpin' on your block
Your man gave him your Glock
And now they run together — what up, son? Whatever
Since I'm on the streets I'ma put it to a cease
But I heard you blew a nigga with a ox for the phone piece
Wildin' on the Island, but now in Elmira
Better chill, ‘cause them niggas will put that ass on fire
Last time you wrote you said they tried you in the showers
But maintain, when you come home the corner's ours
On the reals, all these crab niggas know the deal
When we start the revolution all they probably do is squeal
But chill, see you on the next V-I
I gave your mom dukes loot for kicks, plus sent you flicks
Your brother's buckwildin' in 4-Main, he wrote me
He might beat his case, 'til he come home I'll play it lowkey
So stay civilized, time flies
Though incarcerated your mind dies
I hate it when your moms cries
It kinda makes me want to murder, for reala
I even got a mask and gloves to bust slugs, but one love

One love, one love, one love, one love
One love, one love, one love, one love
One love, one love, one love, one love
One love, one love, one love, one love

Sometimes I sit back with a Buddha sack
Mind's in another world, thinkin'
""How can we exist through the facts?""
Written in school text books, bibles, et cetera
Fuck a school lecture, the lies get me vexed-er
So I be ghost from my projects
I take my pen and pad for the weekend
Hittin' L's while I'm sleepin'
A two-day stay, you may say I need the time alone
To relax my dome, no phone, left the 9 at home
You see the streets had me stressed somethin' terrible
Fuckin' with the corners have a nigga up in Bellevue
Or HDM, hit with numbers from 8 to 10
A future in a maximum state pen is grim
So I comes back home, nobody's out but Shorty Doo-Wop
Rollin' two phillies together: in the Bridge we call 'em oo-wops
He said: ""Nas, niggas caught me bustin' off the roof
So I wear a bulletproof and pack a black tre-deuce.""
He inhaled so deep, shut his eyes like he was sleep
Started coughin', one eye peeked to watch me speak
I sat back like The Mack, my army suit was black
We was chillin' on these benches
Where he pumped his loose cracks
I took the L when he passed it, this little bastard
Keeps me blasted and starts talkin' mad shit
I had to school him, told him don't let niggas fool him
‘Cause when the pistol blows
The one that's murdered be the cool one
Tough luck when niggas are struck, families fucked up
Coulda caught your man, but didn't look when you bucked up
Mistakes happen, so take heed, never bust up
At the crowd, catch him solo, make the right man bleed
Shorty's laugh was cold-blooded as he spoke so foul
Only twelve, tryin' to tell me that he liked my style
Then I rose, wipin' the blunt's ash from my clothes
Then froze, only to blow the herb smoke through my nose
And told my little man I'ma ghost, I broze
Left some jewels in his skull that he can sell if he chose
Words of wisdom from Nas: try to rise up above
Keep an eye out for Jake, Shorty Wop, one love

One love, one love, one love, one love
One love, one love, one love, one love
One love, one love, one love, one love
One love, one love, one love, one love

To all my niggas locked up
From Queensbridge and all over
To my man , one love
To my man Herb, one love
To my man , one love
Can't forget my motherfuckin' heart, Big , one love
To , yeah, one love
",1.0,One Love,reggae,55.0,https://p.scdn.co/mp3-preview/fefab22851ffd12f16017697764ac17a0b01f367?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.259,92.873,4.0,https://api.spotify.com/v1/tracks/27u3Rh4IWYPdwVST20ALrt,track_30,7.0,spotify:track:27u3Rh4IWYPdwVST20ALrt,0.813,track
0.181,05SuSxEPuEJI1RnwTcOCRg,https://api.spotify.com/v1/audio-analysis/4TyCnstYu6LGrjka5WW6ft,['2WjvvwAX0mdWwq3aFuUdtc'],Junior Byles,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.685,1.0,209253.0,0.54,https://api.spotify.com/v1/tracks/4TyCnstYu6LGrjka5WW6ft,4TyCnstYu6LGrjka5WW6ft,0.015,9.0,0.114,-9.701,"

When all of this is said and done
You will be alone
Cause I know this won't last forever
Here's a toast to your unknown
Mother of us all
You and I are one together

Ah, I know this won't last forever
Ah, but I wish this could last forever
I know this won't last forever
But I wish this would last forever

Waking up to your eye
I don't have an answer
So I think I know you better
Waking up to your eye
Multi-colored sunsets
You're the one who gives me shelter

Ah, I know this won't last forever
Ah, but I wish this could last forever
I know this won't last forever
But I wish this would last forever


Keeping it calm
Until we all fade away and move on
Keeping it calm
Until we all fade away and live on
Keeping it calm
Until we all fade away and move on
Keeping it calm
Until we all fade away and live on
",1.0,Fade Away,reggae,62.0,https://p.scdn.co/mp3-preview/0e34ca81da5dfdf95549923e2009b801409c8175?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0253,109.926,4.0,https://api.spotify.com/v1/tracks/4TyCnstYu6LGrjka5WW6ft,track_12,5.0,spotify:track:4TyCnstYu6LGrjka5WW6ft,0.235,track
7.08e-06,3uEqILZYkvtbrlQCl4qmBe,https://api.spotify.com/v1/audio-analysis/79inAVgsZplcYHyzHcR6EO,['4LlvZpSkapl3vj704A7XKO'],Bob Marley,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.502,1.0,204965.0,0.933,https://api.spotify.com/v1/tracks/79inAVgsZplcYHyzHcR6EO,79inAVgsZplcYHyzHcR6EO,0.00251,1.0,0.13,-3.35,"
Yeah
This Is An Information War
Yeah
This Is An Information War
Conformists Conforming
Like They Don't Wanna Know What The Norm Is
Stuck, Dazed, Eyes Shut
Two Fingers Up Cause I Don't Wanna Fuck With Territories
My Mind Is Tampered With
These Thoughts They Make Me Sick
So Here's The Warning
Government Hear My Calling
Dealing Hands Like I'm All Intact
State Your Facts
Raise Your Stats
Raise The Bar Like You Raise Our Tax
Deep impact
All Been Jacked By The Rich Man Don't Be A Snitch Man
Thinking They're All Saviors
But We Don't Need Saving Here
I'm Done With The Policies
I’m Broke But I Won’t Leave
You So Untouchable
We Won’t Change
We Won’t Change
We Lose Our Lives To Prove You Wrong
Yeah
This Is An Information War
Yeah
This Is An Information War
What Do You Know About Terrorists
Do You Know Where The Terror Is?
It's Evident Times Are Irrelevant
(No Justice)
The Country's Decadent
(Don't Trust This)
I'm Hungry For Evidence
Hunting For Presidents
Claiming Precedence
I Might Make It Out Alive
Give Me Hope Or Give Me Time
You So Untouchable
We Won’t Change
We Won’t Change
We Lose Our Lives To Prove You Wrong
We Can’t Do This Alone
We Made A Pact
This Is Our Home
A Change To Fade Away In Vain Today
Rage is what we live for
Rage is what we live for
You So Untouchable
We Won’t Change
We Won’t Change
We Lose Our Lives To Prove You Wrong
We Can’t Do This Alone
We Made A Pact
This Is Our Home
A Change To Fade Away In Vain Today
",1.0,War,reggae,35.0,https://p.scdn.co/mp3-preview/4887cda86c45eacbdadb57948c652a12ccab522b?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0845,142.967,4.0,https://api.spotify.com/v1/tracks/79inAVgsZplcYHyzHcR6EO,track_36,1.0,spotify:track:79inAVgsZplcYHyzHcR6EO,0.44,track
0.00118,4fUOOBGNI8k9cb4vD2hZ65,https://api.spotify.com/v1/audio-analysis/4Mxv1tOYFoqkL73qKZ5gyP,['0oea1hwGMfUxZbLxJc1XUN'],Bob Marley,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.899,1.0,215200.0,0.574,https://api.spotify.com/v1/tracks/4Mxv1tOYFoqkL73qKZ5gyP,4Mxv1tOYFoqkL73qKZ5gyP,0.000345,5.0,0.0567,-9.946,"
Chorus:
Get up, stand up
Stand up for your rights
Get up, stand up
Don't give up the fight
(2x)
You, preacher man don't tell me
Heaven is under the earth
You a duppy and you don't know
What life is really worth
It's not all that glitter is gold
And half the story has never been told
So now we see the light
We gonna stand up for your rights
Come on
Chorus
Cause you know most people think
A great God will come from the skies
Take away everything
And left everybody dry
But if you know what life is worth
Then you would look for yours on earth
And now you see the light
We gonna stand up for your rights
Chorus
We're sick and tired of this game of technology
Humbly asking Jesus for his mercy
We know and we know and understand
Almighty Jah is a living man
You fool some people sometimes
But you can't fool all the people all the time
And now we see the light
We gonna stand up for our rights
",1.0,"Get Up, Stand Up",reggae,48.0,https://p.scdn.co/mp3-preview/bbaa2345dcd67c9dbf1aa65b2bd9af426b239c85?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0788,138.956,4.0,https://api.spotify.com/v1/tracks/4Mxv1tOYFoqkL73qKZ5gyP,track_31,1.0,spotify:track:4Mxv1tOYFoqkL73qKZ5gyP,0.913,track
0.781,6i3wTar64WzxzfFe9aOJIc,https://api.spotify.com/v1/audio-analysis/4QA7CAHsB6XYHZvW6FQisT,['3mkd8IxWAcW5OC2kHOfhuM'],Bob Marley,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.703,1.0,285080.0,0.364,https://api.spotify.com/v1/tracks/4QA7CAHsB6XYHZvW6FQisT,4QA7CAHsB6XYHZvW6FQisT,0.00363,4.0,0.118,-11.291,"

É só isso
Não tem mais jeito
Acabou, boa sorte
Não tenho o que dizer
São só palavras
E o que eu sinto
Não mudará

Tudo o que quer me dar
É demais
É pesado
Não há paz
Tudo o que quer de mim
Irreais
Expectativas, desleais

That's it
There's no way
It's over
Good luck
I've nothing left to say
It's only words
And what l feel
Won't change

Tudo o que quer me dar
Everything you want to give me
É demais
It's too much
É pesado
It's heavy
Não há paz
There is no peace
Tudo o que quer de mim
All you want from me
Irreais
Isn't real
Expectativas
Expectations
Desleais

Mesmo se segure
Quero que se cure
Dessa pessoa
Que o aconselha
Há um desencontro
Veja por esse ponto
Há tantas pessoas especiais

Now even if you hold yourself
I want you to get cured
From this person
Who advises you
There is a disconnection
See through this point of view
There are so many
Special people in the world
So many special
People in the world
In the world
All you want
All you want

Tudo o que quer me dar
Everything you want to give me
É demais
It's too much
É pesado
It's heavy
Não há paz
There's no peace
Tudo o que quer de mim
All you want from me
Irreais
Isn't real
Expectativas
That expectations
Desleais

Now we're falling
Falling, falling
Falling into the night
Into the night
Falling, falling, falling
Falling into the night
Um bom encontro é de dois
Now we're falling
Falling, falling
Falling into the night
Into the night
Falling, falling, falling
Falling into the night
",1.0,Waiting In Vain,reggae,24.0,https://p.scdn.co/mp3-preview/f24b06d19fcf5476be8d1aeb9b2d3a10fdf387f5?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0621,161.941,4.0,https://api.spotify.com/v1/tracks/4QA7CAHsB6XYHZvW6FQisT,track_83,1.0,spotify:track:4QA7CAHsB6XYHZvW6FQisT,0.509,track
0.00033,4IvMdTOYrnKv0a5edr6vVu,https://api.spotify.com/v1/audio-analysis/0ueQD7R66pzETMuAdKHKAc,['55VydwMyCuGcavwPuhutPL'],Dennis Brown,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.376,1.0,244680.0,0.944,https://api.spotify.com/v1/tracks/0ueQD7R66pzETMuAdKHKAc,0ueQD7R66pzETMuAdKHKAc,8.2e-05,1.0,0.185,-5.755,"

All revolutions are impossible until they happen. Then they become inevitable

It's not enough to kill the past, be blind to history
And all at once there's a black cloud coming made of gasoline
I see that you have set the price, made sure that nothing's free
One way to move forward is to learn who's stopping me

Yeah, this is the end, this is the end, calling for revolution
Yeah, this is the end, this is the end, calling for revolution
Burn, like a fire in the rain, like a fire in the rain
This is the end, this is the end, calling for revolution, yeah

We looked at the price tag, and it's one we can't afford
We were taught that progression means accumulating more
It's not to protect ourselves, so why are we at war?
And isn't it obvious we're adding up the score?

Yeah, this is the end, this is the end, calling for revolution
Yeah, this is the end, this is the end, calling for revolution
Burn, like a fire in the rain, like a fire in the rain
This is the end, this is the end, calling for revolution, yeah

I'll never turn my back on where I'm from
I'll never stop believing
I'll always love my home
But from that love I've noticed who's been burned
I've noticed who's still bleeding
It seems the fire has grown
So from now on I pledge allegiance
To a world that's so much different
No one suffers, everyone is free
Revolution starts with me
Revolution!  Revolution!
Calling for a revolution
Revolution! Revolution!
Calling for...
Yeah, this is the end, this is the end, calling for revolution
Yeah, this is the end, this is the end!
(This is the end)

Yeah, this is the end, this is the end, calling for revolution
Yeah, this is the end, this is the end, calling for revolution
Burn, like a fire in the rain, like a fire in the rain
This is the end, this is the end, calling for revolution, yeah
Calling for revolution, yeah
Calling for revolution

One of the things that's happened is that this movement has acquired an air of inevitability
",0.0,Revolution,reggae,47.0,https://p.scdn.co/mp3-preview/61b4be38ab42a52ff1b63c0a5a9e16ae6e25d528?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.303,159.978,4.0,https://api.spotify.com/v1/tracks/0ueQD7R66pzETMuAdKHKAc,track_37,1.0,spotify:track:0ueQD7R66pzETMuAdKHKAc,0.156,track
0.41,2JcwQwy2KY3CEIzHUC30wG,https://api.spotify.com/v1/audio-analysis/0oCT5rVvMdPPUm0bxG7yzT,['0nAVvgfE9yI4DwvMiYwk8a'],Johnny Nash,"['AR', 'BO', 'BR', 'CL', 'CO', 'CR', 'DO', 'EC', 'GT', 'HN', 'MX', 'NI', 'PA', 'PE', 'PY', 'SV', 'US', 'UY']",BE,0.683,1.0,162653.0,0.53,https://api.spotify.com/v1/tracks/0oCT5rVvMdPPUm0bxG7yzT,0oCT5rVvMdPPUm0bxG7yzT,7.43e-05,2.0,0.06,-8.542,"
I can see clearly now the rain is gone
I can see all obstacles in my way
Gone are the dark clouds that had me blind
It's going to be a bright, bright sun shiny day
It's going to be a bright, bright sun shiny day
I can make it now the pain is gone
All of the bad feelings have disappeared
Here is that rainbow I've been praying for
It's going to to be a bright, bright sun shiny day
Look all around, there's nothing but blue skies
Look straight ahead, nothing but blue skies
I can see clearly now the rain is gone
I can see all obstacles in my way
Gone are the dark clouds that had me blind
It's going to be a bright, bright sun shiny day
It's going to be a bright, bright sun shiny day
",1.0,I Can See Clearly Now,reggae,52.0,https://p.scdn.co/mp3-preview/cb2ac8119e19b9552d54e0fb7f615bd834bc07ad?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0601,124.392,4.0,https://api.spotify.com/v1/tracks/0oCT5rVvMdPPUm0bxG7yzT,track_28,2.0,spotify:track:0oCT5rVvMdPPUm0bxG7yzT,0.579,track
0.229,0Ti29W5rhOp8ojKJ28SqtP,https://api.spotify.com/v1/audio-analysis/4SNxXAQ8QMlxLhYVX7nuoE,['6zJjuLyqniz4ilDlYIjiio'],Jacob Miller,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.888,1.0,154333.0,0.521,https://api.spotify.com/v1/tracks/4SNxXAQ8QMlxLhYVX7nuoE,4SNxXAQ8QMlxLhYVX7nuoE,0.0,4.0,0.0794,-6.845,"

R-iii-ight-oh!
Hear dem say...ah ah ah!
Dreadlocks can't live in a...tenement
Dreadlocks can't live in a tenement yard
Dreadlocks can't live in a tenement yard
Too much su-su su-su su-su, too much watchie watchie you
Too much su-su su-su su-su, too much watchie what you are
Dreadlocks can't live in a tenement yard
Dreadlocks can't live in a tenement yard
Too much su-su su-su su-su, too much watchie watchie
Too much su-su su-su su-su, too much watchie wah
Dreadlocks can't live in privacy
Anything him do, old nigga see
Too much watchie watchie watchie, too much su-su su-su su
Too much watchie watchie watchie, too much su-su su-su su
Dreadlocks can't smoke him pipe in peace
Too much informers and too much fears
Too much watchie watchie watchie, too much su-su su-su su
Too much watchie watchie watchie, too much su-su su-su su
Dreadlocks can't live in a tenement yard
Dreadlocks can't live in a tenement yard
Can't penetrate, inna tenement yard
Can't penetrate inna tenement yard
Ski-ski bo-ow
Dreadlocks can't live in a tenement yard
Dreadlocks can't live in a tenement yard
Too much su-su su-su su-su, too much watchie watchie wah
Too much su-su su-su su-su, too much watchie watchie wah
Dreadlocks can't penetrate the rent man
All him a do is sell Jah Jah land
Too much watchie watchie watchie, too much su-su su-su
Can't penetrate in a tenement yard
Can't penetrate in a tenement yard
Dreadlocks can't lick him pipe in peace
Too much informers and too much fears
Too much watchie watchie watchie, too much su-su su-su su
Too much watchie watchie watchie, too much su-su su-su
Can't I-ditate in a tenement yard
Can't I-ditate in a tenement yard
Dreadlocks can't lick him pipe in peace
Too much Babylon and too much laws
Too much....
Too much informer.....
",1.0,Tenement Yard,reggae,56.0,https://p.scdn.co/mp3-preview/582ef979e5082c55d91804cb66bbe1b99fa4e7cc?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.306,143.879,4.0,https://api.spotify.com/v1/tracks/4SNxXAQ8QMlxLhYVX7nuoE,track_24,9.0,spotify:track:4SNxXAQ8QMlxLhYVX7nuoE,0.962,track
0.604,1z8A6cocNi7jSr437sCilU,https://api.spotify.com/v1/audio-analysis/5jla2fhvErKAiUHG3fnRuv,['0UmBaQJflaHddKtf1lrA6F'],Dennis Brown,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.742,1.0,228867.0,0.45,https://api.spotify.com/v1/tracks/5jla2fhvErKAiUHG3fnRuv,5jla2fhvErKAiUHG3fnRuv,0.0,0.0,0.107,-13.333,"

Money in my pocket
But I just can't get no love
Money in my pocket
But I just can't get no love
I'm praying for a girl to be my own

Sonya said she's coming
But I don't believe a word she says
‘Cause she run away and left me one rainy day
She made me had in mind
That her love would never die
And now I'm alone, yeah, so alone
So alone, yeah, yeah, yeah

Money in my pocket
But I just can't get no love, oh no
Money in my pocket
But I just can't get no love
The love I had in mind
Was very, very hard to find, oh

It's hard for a man to live without a woman (yeah)
And a woman needs a man to cling to
You see what love can do
After making me feel blue
Ain't that a shame? Yeah, woah, baby
Ain't that a shame? Yeah
To make me feel blue, woah, yeah

I have got money in my pocket
Woah yeah

Money in my pocket
But I just can't get no love, oh no
Money in my pocket
But I just can't get no love
The love I had in mind
Was very, very hard to find, oh

It's hard for a man to live without a woman (yeah)
And a woman needs a man to cling to
You see what love can do
After making me feel blue
Ain't that a shame? Yeah, woah, baby
Ain't that a shame? Yeah
To make me feel blue, woah, yeah

Money in my pocket
But I just can't get no love, oh no
Money in my pocket
But I just can't get no love
The love I had in mind
Was very, very hard to find, oh
",1.0,Money In My Pocket,reggae,43.0,https://p.scdn.co/mp3-preview/7557632463bde5615378baea60f6f64b886a44d7?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0569,137.914,4.0,https://api.spotify.com/v1/tracks/5jla2fhvErKAiUHG3fnRuv,track_1,12.0,spotify:track:5jla2fhvErKAiUHG3fnRuv,0.964,track
0.057,6qPG09ioBMVTcgJSZpuCY8,https://api.spotify.com/v1/audio-analysis/0czsQ1YOT71kdVfyFoTy3U,['6UL7BodGc5iVmQGlMwHR0g'],Steel Pulse,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FR', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.707,1.0,222600.0,0.716,https://api.spotify.com/v1/tracks/0czsQ1YOT71kdVfyFoTy3U,0czsQ1YOT71kdVfyFoTy3U,4.25e-06,10.0,0.36,-8.962,"
Your love is a life for I
Realized that so much
When I first met you
That was some time ago oh
From then until this
Resist no no no close to you
Oh yes right from the start
Oh no no no could never part
Oh I hear from that thought
CHORUS
I wanna live in your house
I wanna live in your house
You say dry your _ nose
Wipe that tear drop from your... eye
Was in a little situation
Came with a solution
Was a revelation to hear
Triumphant calling
Triumphant trumpets
SCAT
Spap spa da dap pap spa spa
CHORUS
I wanna live in your house
I wanna live in your house
Oh I no hear
Too much for what some say
Cause at the close of the day
They'll be so far away
But then I know
One things for certain
Came at the closing of the
Woo oh oh oh
Yes, I know one thing for certain
You'll be there you'll be there
It was you
That raise the flag above I head
Once when I was once when I was
In a little situation
Came with a, came with a solution
Was a revelation to hear
Triumphant calling
Triumphant trumpets
CHORUS
I wanna live in your house
I wanna live in your house
To make I home
To make I home yeh
I wanna live
",0.0,Your House,reggae,57.0,https://p.scdn.co/mp3-preview/966f95a1cf12febe0e63b2110f5666deefb56427?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0879,154.118,4.0,https://api.spotify.com/v1/tracks/0czsQ1YOT71kdVfyFoTy3U,track_29,8.0,spotify:track:0czsQ1YOT71kdVfyFoTy3U,0.966,track
