acousticness,album_id,analysis_url,artists_id,artists_name,available_markets,country,danceability,disc_number,duration_ms,energy,href,id,instrumentalness,key,liveness,loudness,lyrics,mode,name,playlist,popularity,preview_url,speechiness,tempo,time_signature,track_href,track_name_prev,track_number,uri,valence,type
0.589,5dBRId1uDgpkTfgFYUBOdn,https://api.spotify.com/v1/audio-analysis/5D56w7a5llMD2j1RVAN0X8,"['5QzHVAsWhm0WNTmgYeBCYy', '3Wyz9iwnEla2PDdqwFCh5x', '6Fi8CHfO8WGtu3yO8c2Mc4']",Survivor,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.615,1.0,244416.0,0.687,https://api.spotify.com/v1/tracks/5D56w7a5llMD2j1RVAN0X8,5D56w7a5llMD2j1RVAN0X8,0.593,0.0,0.124,-5.393,"
Tammin:
Risin up
Back on the street
Did my time took my chances
Tammin and Victoria:
Went the distance now I'm back on my feet
Just a girl and her will to survive
Tammin and Nolan:
So many timesIt happens too fast
You trade your passion for glory
Don't lose your grip on the dreams of the past
You must fight just to keep them alive
Tammin, Nola, Victoria, and Simon:
It's the eye of the tiger
It's the thrill of the night
Risin up to the challenge of our rivals
And the last known survivor stalks his prey in the night
And he's watching us all with the eye of the tiger
Tammin and Nolan:
Face to face
Out in the heat
Hanging tough
Stayin hungry
Tammin:
The stack the odds still we take to the street
For the kill with the skill to survive...
Tammin, Nolan, Simon, and Victoria:
It's the eye of the tiger
It's the thrill of the night
Risin up to the challenge of our rivals
And the last known survivor stalks his prey in the night
And he's watching us all with the eye of the tiger
Tammin:
Risin up
Straight to the top
Had the guts got the glory
Went the distance now I'm not gonna stop
Just a girl and her will to survive
Tammin, Nolan, Victoria, and Simon:
It's the eye of the tiger
It's the thrill of the night
Risin up to the challenge of our rivals
And the last known survivor stalks his prey in the night
And he's watching us all with the eye of the tiger
The eye of the tiger...
The eye of the tiger...
The eye of the tiger...
",0.0,Eye of the Tiger,rock,36.0,https://p.scdn.co/mp3-preview/1d8ac8db9857391a2435c8b367f2ca5263f56f88?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0517,131.01,4.0,https://api.spotify.com/v1/tracks/5D56w7a5llMD2j1RVAN0X8,track_18,1.0,spotify:track:5D56w7a5llMD2j1RVAN0X8,0.566,track
9.64e-05,0pTJUNFD07wV1oFSD8Zflc,https://api.spotify.com/v1/audio-analysis/0gNfYuNUfuMiZxYvVST4zU,['1DFr97A9HnbV3SKTJFu62M'],Rolling Stones,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.546,1.0,335250.0,0.925,https://api.spotify.com/v1/tracks/0gNfYuNUfuMiZxYvVST4zU,0gNfYuNUfuMiZxYvVST4zU,0.475,1.0,0.126,-6.812,"

Please allow me to introduce myself
I'm a man of wealth and taste
I've been around for a long, long year
Stole many a man's soul to waste
And I was 'round when Jesus Christ
Had his moment of doubt and pain
Made damn sure that Pilate washed his hands and sealed his fate

Pleased to meet you
Hope you guess my name
But what's confusing you
Is just the nature of my game

I stuck around St. Petersburg
When I saw it was a time for a change
I killed the Tsar and his ministers, Anastasia screamed in vain
I rode a tank, held a general's rank
When the blitzkrieg raged and the bodies stank

Pleased to meet you
Hope you guess my name
Cause what's puzzling you
Is the nature of my game
(Come on) x3

Pleased to meet you
Hope you guess my name
Ah yeah, but what's confusing you
Is the nature of my game

I watched with glee while your kings and queens
Fought for ten decades for the gods they made
I shouted out, who killed the Kennedys ?
When after all, it was you and me
Let me, please introduce myself
I'm a man of wealth and taste
And I laid traps for the troubadours
Who get killed before they reached Bombay

Pleased to meet you
Hope you guessed my name, oh yeah
But what's confusing you
It's just the nature of my game

Just as every cop is a criminal and all the sinners saints
As heads is tails, just call me Lucifer
Cause I'm in need of some restraint
So if you meet me, have some courtesy
Have some sympathy and some taste
Use all your well-learned politeness or I'll lay your soul to waste
Oh yeah

Pleased to meet you
Hope you guessed my name, Ohh yeah
But what's puzzling you
Is just the nature of my game
Ah yeah, Get down

What's my name?
What's my name?
Lucifer, That's my name baby!
Oh yeah
Oh yeah
Oh yeah
",1.0,Sympathy For The Devil,rock,41.0,https://p.scdn.co/mp3-preview/f45550b6e8ca9c392242cff191248d7b3353b405?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0935,119.999,4.0,https://api.spotify.com/v1/tracks/0gNfYuNUfuMiZxYvVST4zU,track_20,7.0,spotify:track:0gNfYuNUfuMiZxYvVST4zU,0.428,track
0.0194,6lsVXC9dQAi4x1sHQP5jaA,https://api.spotify.com/v1/audio-analysis/6QZtmgaUkxWk3Rlq3Upll6,['7r8xR0LmnaAM623MmRDn1V'],Fleetwood Mac,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",FI,0.8,1.0,214080.0,0.626,https://api.spotify.com/v1/tracks/6QZtmgaUkxWk3Rlq3Upll6,6QZtmgaUkxWk3Rlq3Upll6,0.00416,7.0,0.103,-6.043,"

Halos of diamonds dancing over your head
My eyes are silver lining lace in your bed
Chasing golden days
Here they come, here they come
You keep my satisfaction for yourself
I give you something real with no one else
You take the money
And I take you as you are

Tell me what you want
Don't you know that you got everything you need (oh, oh)
I wanna take it all
I could satisfy your dollar sign dreams (dollar sign dreams)

Walking on water to an island of sand
Drown in the fantasy as deep as you can
Weighted on your waist
Here they come, here they come
I'm just your dusty bottle up on the shelf
Wish I could realize your visions of wealth
You take the money
But I take you as you are

Tell me what you want
Don't you know that you got everything you need (yeah, yeah)
I wanna take it all
I could satisfy your dollar sign dreams (dollar sign dreams)

Franklin ain't no friend of mine
Tired of chasing your dollar signs
See your mink hit the marble floor
Keeps me coming back for more

Tell me what you want
Don't you know that you got everything you need (oh)
I wanna take it all
I could satisfy your dollar sign dreams (dollar sign dreams)
Tell me what you want
Don't you know that you got everything you need (everything you need)
I wanna take it all
I could satisfy your dollar sign dreams

Tell me what you want
Dollar sign dreams
",1.0,$Dreams,rock,51.0,https://p.scdn.co/mp3-preview/c7b20302c0f8d6fb92f0e0df2f355d13aae7e557?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0482,106.974,4.0,https://api.spotify.com/v1/tracks/6QZtmgaUkxWk3Rlq3Upll6,track_77,5.0,spotify:track:6QZtmgaUkxWk3Rlq3Upll6,0.792,track
0.432,0cZ1OEo71vd1UhXLgEUawI,https://api.spotify.com/v1/audio-analysis/5d3sLZIj0gEw0VZnNa3BER,['5vX0WprQ4MlULvoIdH071u'],Aerosmith,"['AD', 'AE', 'AR', 'AT', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HN', 'HU', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'NI', 'NL', 'NO', 'OM', 'PA', 'PE', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SK', 'SV', 'TN', 'TR', 'US', 'UY', 'ZA']",BE,0.679,1.0,218013.0,0.819,https://api.spotify.com/v1/tracks/5d3sLZIj0gEw0VZnNa3BER,5d3sLZIj0gEw0VZnNa3BER,0.0,1.0,0.0711,-4.57,"
Sunshine dancing on my bed
Good times waiting up ahead
Nothing's gonna stop me
With a laugh and a joke and a smile
You can go like a million miles
Everything's gonna be okay
It's okay, it's okay okay
With a dream and a positive mind
You'll make it everytime
Everything's gonna be just fine
It's just fine, it's okay okay
Dream on, dream on baby
Let's go and change the world tonight
You can if you believe it
Dream on, and you will be alright
My friends; come on, let's celebrate (come on, have a celebration)
Worldwide, starting here today
Come on everybody
With a laugh and a joke and a smile
You can go like a million miles
Everything's gonna be okay
It's okay, it's okay okay
With a dream and a positive mind
You'll make it everytime
Everything's gonna be just fine
It's just fine, it's okay okay
Dream on, dream on baby
Let's go and change the world tonight
You can if you believe it
Dream on, and you will be alright
Dream on, dream on baby
Let's go and change the world tonight
You can if you believe it
Dream on, and you will be alright
When the clouds ain't kind and the sun forgets to shine
You gotta keep on trying and remember
With a laugh and a joke and a smile
You can go like a million miles
Everything's gonna be okay
It's okay, it's okay okay
With a dream and a positive mind
You'll make it everytime
Everything's gonna be just fine
It's just fine, it's okay okay
Dream on, dream on baby (dream on)
Let's go and change the world tonight
You can if you believe it (it's okay)
Dream on, and you will be alright
Dream on, dream on baby (with a positive mind)
Let's go and change the world tonight
You can if you believe it (just remember)
Dream on, and you will be alright (you will be alright)
Dream on, dream on baby (oh, heeey)
Let's go and change the world tonight
You can if you believe it
Dream on, and you will be alright
(I said) Dream on, dream on baby
Let's go and change the world tonight (I said dream on)
You can if you believe it
Dream on, and you will be alright (I said come on)
",1.0,Dream On,rock,37.0,https://p.scdn.co/mp3-preview/e40d57ca67fe8fb3ff04d58738c89856864ba51a?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0418,128.03,4.0,https://api.spotify.com/v1/tracks/5d3sLZIj0gEw0VZnNa3BER,track_23,1.0,spotify:track:5d3sLZIj0gEw0VZnNa3BER,0.903,track
0.289,1dWhND56sMmlCvxdUytMxZ,https://api.spotify.com/v1/audio-analysis/05cXQMJcrM9msUYu11mOrs,['5WUlDfRSoLAfcVSX1WnrxN'],Pearl Jam,"['AD', 'AE', 'AR', 'AT', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.32,1.0,263893.0,0.752,https://api.spotify.com/v1/tracks/05cXQMJcrM9msUYu11mOrs,05cXQMJcrM9msUYu11mOrs,0.000101,6.0,0.102,-4.91,"

I was born in a thunderstorm
I grew up overnight
I played alone
I played on my own
I survived
Hey
I wanted everything I never had
Like the love that comes with light
I wore envy and I hated that
But I survived

I had a one-way ticket to a place where all the demons go
Where the wind don't change
And nothing in the ground can ever grow
No hope, just lies
And you're taught to cry into your pillow
But I survived

I'm still breathing, I'm still breathing
I'm still breathing, I'm still breathing
I'm alive
I'm alive
I'm alive
I'm alive

I found solace in the strangest place
Way in the back of my mind
I saw my life in a stranger's face
And it was mine

I had a one-way ticket to a place where all the demons go
Where the wind don't change
And nothing in the ground can ever grow
No hope, just lies
And you're taught to cry into your pillow
But I survived

I'm still breathing, I'm still breathing
I'm still breathing, I'm still breathing
I'm alive
I'm alive
I'm alive
I'm alive

You took it all, but I'm still breathing
You took it all, but I'm still breathing
You took it all, but I'm still breathing
You took it all, but I'm still breathing
You took it all, but I'm still breathing
You took it all, but I'm still breathing
You took it all, but I'm still breathing
You took it all, but I'm still breathing

I have made every single mistake
That you could ever possibly make
I took and I took and I took what you gave
But you never noticed that I was in pain
I knew what I wanted; I went in and got it
Did all the things that you said that I wouldn't
I told you that I would never be forgotten
And all in spite of you

And I'm still breathing, I'm still breathing
I'm still breathing, I'm still breathing
I'm alive (You took it all, but I'm still breathing)
(You took it all, but I'm still breathing)
I'm alive (You took it all, but I'm still breathing)
(You took it all, but I'm still breathing)
I'm alive (You took it all, but I'm still breathing)
(You took it all, but I'm still breathing)
I'm alive

I'm alive
I'm alive
I'm alive
I'm alive
",0.0,Alive,rock,58.0,https://p.scdn.co/mp3-preview/ddb8d9461b5ebcc43a10eb95092c89a87e821749?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.056,98.88,4.0,https://api.spotify.com/v1/tracks/05cXQMJcrM9msUYu11mOrs,track_19,1.0,spotify:track:05cXQMJcrM9msUYu11mOrs,0.392,track
0.783,2x7QaKvvJ45DcYl78JCf25,https://api.spotify.com/v1/audio-analysis/3tNyFKxcFszV0TiDDJsYVx,['43ZHCT0cAZBISjO8DG9PnE'],The Beatles,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",FI,0.334,1.0,271573.0,0.338,https://api.spotify.com/v1/tracks/3tNyFKxcFszV0TiDDJsYVx,3tNyFKxcFszV0TiDDJsYVx,0.000116,3.0,0.11,-15.48,"

Hey Jude, don't be a fool
Take a sad song and make it better
The minute you let her into your heart
Then you can start to make it better

Hey Jude, don't let me down
Take a sad song and make it better
The minute you let her into your heart
Then you can start to make it better

Let it out and let in
Hey Jude begin
To making the world a little better
Don't you know that it's a fool
Who plays it cool
In making the world a little better




Na na na na na na na
Na na na na na na na
Na na na na na na na
",1.0,Hey Jude,rock,41.0,https://p.scdn.co/mp3-preview/62f1abc30037c19352ff31885aba4ec723430a4f?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0278,78.628,4.0,https://api.spotify.com/v1/tracks/3tNyFKxcFszV0TiDDJsYVx,track_29,3.0,spotify:track:3tNyFKxcFszV0TiDDJsYVx,0.627,track
0.222,4RggYxkf40auRlIEyjBiXo,https://api.spotify.com/v1/audio-analysis/3oAV5Aa8zx9buAu15zHNlq,['0rvjqX7ttXeg3mTy8Xscbt'],Journey,"['AD', 'AE', 'AR', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UY', 'VN', 'ZA']",BE,0.492,1.0,248827.0,0.782,https://api.spotify.com/v1/tracks/3oAV5Aa8zx9buAu15zHNlq,3oAV5Aa8zx9buAu15zHNlq,0.0,4.0,0.47,-7.649,"

Just a small town girl
Living in a lonely world
She took the midnight train
Going anywhere

Just a city boy
Born and raised in South Detroit
He took the midnight train
Going anywhere

A singer in a smoky room
A smell of wine and cheap perfume
For a smile they can share the night
It goes on and on and on and on

Strangers waiting
Up and down the boulevard
Their shadows searching in the night
Streetlights, people
Living just to find emotion
Hiding somewhere in the night

Working hard to get my fill
Everybody wants a thrill
Payin' anything to roll the dice
Just one more time

Some will win, some will lose
Some were born to sing the blues
Oh, the movie never ends
It goes on and on and on and on

Strangers waiting
Up and down the boulevard
Their shadows searching in the night
Streetlights, people
Living just to find emotion
Hiding somewhere in the night


Don't stop believin'
Hold on to that feeling
Streetlights, people
Ohohohhhhhhhhhh
Don't stop believin'
Hold on
Streetlights, people
Ohohohhhhhhhhhh
Don't stop believin'
Hold on to that feeling
Streetlights, people
Ohohohhhhhhhhhh
",1.0,Don't Stop Believin',rock,34.0,https://p.scdn.co/mp3-preview/48831ef76845712fdb3b0f036ae97d74c740c0c4?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0404,119.24,4.0,https://api.spotify.com/v1/tracks/3oAV5Aa8zx9buAu15zHNlq,track_21,2.0,spotify:track:3oAV5Aa8zx9buAu15zHNlq,0.472,track
0.0913,4uI60dVqyZ6pVU36oUb0j2,https://api.spotify.com/v1/audio-analysis/2Qx7S6Dj4vMVQlZyOCmMGI,['0LFsP7WPfu5inz9a1amcE4'],Black Sabbath,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",FI,0.803,1.0,144211.0,0.624,https://api.spotify.com/v1/tracks/2Qx7S6Dj4vMVQlZyOCmMGI,2Qx7S6Dj4vMVQlZyOCmMGI,3.71e-06,2.0,0.0996,-6.82,"

I need to testify if the church will hear me/
I been going through some things it wasn't pretty/
Stress up on my shoulders it was very heavy/
And it almost drove me to a fifth of Henny/
They say they love are they with me?/
I could spell it but still, they wouldn't get me/
And I looked for help but there was barely any/
I would ring-ring but they wouldn't hear me/
Now I'm going off like a loaded semi/
Or a broken levy. Nothing you can tell me/
Get these wheels spinning like I'm Penny Penny/
Gotta take my shot coz we don't get that many/
And I lost my faith, oh lord please forgive me/
Now I'm riding shotgun Jesus with me/
Got my armour on in case these demons tempt me/
Can I get an amen swear that yall don't hear me!/

Once I get into my zone, watch me watch me switch it up
I've been gone for a minute now I'm back to pick it up
Ok ok this my song,  DJ turn that record up/
I just love the way it's hitting when
I'm twisted with my cup//

Sometimes t feels like I'm way too young
Rushing to be one of the greats to much
Missing my blessings coz I don;t pray enough
And really can't focus my thoughts stray too much
Had to ask myself some questions to help me to be a better man/
Instead of being jealous of niggas I'm clearly better than/
Thoughts would race like adrenaline, dealt with storms like the weatherman/
I was down at the bottom, was never planning on settling/
So please pardon all these sad boy raps/
I've been bobbing and weaving these bears claw traps/
Enemies claim to be friends, with their claws in you back/
Niggas for the birds, I been giving scarecrows daps/
Still, miss people that I can't call on the phone/
I love them to death, but it's best that we just leave it alone/
I'm not the kid they used to know anymore now that I'm grown/
They probably don't get me its cool, I guess it's each to his own/
I'm sure this is how Esco was feeling when it was written/
I pray to let my thoughts all spill, Lord willing/
Imma make a difference. And I put that on my life though/
Put my life into these bars so forgive me if I write slow/
I wear the flaws on my skin and I embrace every typo/
When all the city light blow, imma let my light show/
Niggas still got wack bars like bad tenants/
Its safe to say that I hear it, I just can't live with it

Once I get into my zone, watch me watch me switch it up
I've been gone for a minute now I'm back to pick it up
Ok ok this my song,  DJ turn that record up/
I just love the way it's hitting when
I'm twisted with my cup//
",0.0,Paranoid,rock,36.0,https://p.scdn.co/mp3-preview/a0638b7ab3abfadddda2ada4ebdad35efdbc6bc1?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.277,100.027,4.0,https://api.spotify.com/v1/tracks/2Qx7S6Dj4vMVQlZyOCmMGI,track_11,7.0,spotify:track:2Qx7S6Dj4vMVQlZyOCmMGI,0.681,track
0.721,3nIxtIMxYqCiD7ZDE0payb,https://api.spotify.com/v1/audio-analysis/3MGNretkjfPdtL1YfZY34Z,['7nwUJBm0HE4ZxD3f5cy5ok'],Simon & Garfunkel,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",FI,0.481,1.0,331360.0,0.395,https://api.spotify.com/v1/tracks/3MGNretkjfPdtL1YfZY34Z,3MGNretkjfPdtL1YfZY34Z,4.93e-05,10.0,0.451,-9.017,"

(Don't trouble the water)
I won't (leave it alone)
(Why don't you, why don't you, let it be?)
Um hum hum
(Still water run deep... yes it do)
I know that
(Whoa-o-o-yeah)
If you only believe
(Don't trouble the water)
Said I wouldn't (leave it alone)
(Why don't you, why don't you, let it be?)
Umm (still water run deep)
Yes it do
(Yes it do whoa-oh-ho yeah), if you only believe

When you're down and out
When you're on the street
When evening falls so hard
I will comfort you
I'll take your part
Oh when darkness comes
And pain is all, is all around

Just like a bridge over troubled water
I will lay me down
(Like a bridge)
Just like a bridge
(Over troubled) over troubled water
I will lay me down

Sail on silver girl
Sail on by
Your time has come to shine
All of your dreams are on their way
(See how they shine?)
Ooooh and if you ever need a friend
(Need a friend)
Look around, I'm sailing right behind

Just like a bridge
(Bridge (over) over (troubled) water
I'll be there to lay me down
(Like a bridge)
Like a bridge over (troubled water) troubled water
I will lay me down
Ooooh I'll be your bridge
Yes I will

(Don't trouble the water)
Said I wouldn't
(Leave it alone)
Well (why don't you, why don't you, let it be?)
Uh-huh (still water run deep)
I know that
(Yes it do) yeah (oh-oh-oh yeah)
Still water (don't trouble the water)
Yeah
(Leave it alone, why don't you, why don't you, let it be)
Talking bout still water
(Still water run deep)
You know they run deep
(Yes it do) uh-huh (oh-ho-ho-yeah)
Well I'm gonna be your bridge yeah!
(Don't trouble the water)
The troubled water (leave it alone)
Oh!

(Why don't you, why don't you, let it be?)
Come on come on
Walk out on me
(Still water run deep)
Oh
(Yes it do)...
",1.0,Bridge over Troubled Water,rock,46.0,https://p.scdn.co/mp3-preview/7c3f2eb0a745f438c69d38f2e58802fe08149df1?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0319,77.89,4.0,https://api.spotify.com/v1/tracks/3MGNretkjfPdtL1YfZY34Z,track_21,43.0,spotify:track:3MGNretkjfPdtL1YfZY34Z,0.373,track
0.0149,0QWjK3wGoCug92yQIeBdxu,https://api.spotify.com/v1/audio-analysis/38bHLl4pznhxzRJLuw1OA7,['34jw2BbxjoYalTp8cJFCPv'],Heart,"['AD', 'AE', 'AR', 'AT', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.544,1.0,262160.0,0.73,https://api.spotify.com/v1/tracks/38bHLl4pznhxzRJLuw1OA7,38bHLl4pznhxzRJLuw1OA7,0.0983,4.0,0.146,-12.046,"


So this ain't the end, I saw you again today
I had to turn my heart away
Smile like the sun, kisses for everyone
And tales, it never fails!

You lying so low into the weeds
I bet you gonna ambush me
You'd have me down, down, down, down on my knees
Now won't you, Barracuda?


Back over time, we were all trying for free
You met the porpoise and me
No right, no wrong, you're selling a song, a name
Whisper game

And if the real thing don't do the trick
You better make up something quick
You gonna burn, burn, burn, burn burn to the wick
Ooh, Barracuda

""Sell me sell you"" the porpoise said
Dive down deep to save my head
I think that you got the blues, too
All that night and all the next
Swam without looking back
Made for the western pools, silly, silly fools!


If the real thing don't do the trick, no
You better make up something quick
You gonna burn, burn, burn, burn, burn it to the wick
Ohh, Bara-Barracuda

",0.0,Barracuda,rock,56.0,https://p.scdn.co/mp3-preview/e495eb60d192a4b2feb5bedb0de498e6dba4f118?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0361,137.134,4.0,https://api.spotify.com/v1/tracks/38bHLl4pznhxzRJLuw1OA7,track_2,14.0,spotify:track:38bHLl4pznhxzRJLuw1OA7,0.678,track
